card,elixir,type
Archers,3,troop
Knight,3,troop
Giant,5,troop
Skeletons,1,troop
Goblin Gang,3,troop
Fireball,4,spell
Zap,2,spell
Cannon,3,building
Musketeer,4,troop
Valkyrie,4,troop
Hog Rider,4,troop
Wizard,5,troop
P.E.K.K.A,7,troop
X-Bow,6,building
Rocket,6,spell
Baby Dragon,4,troop
Mega Minion,3,troop
Balloon,5,troop
Golem,8,troop
Goblin Barrel,3,spell
Tornado,3,spell
Electro Wizard,4,troop
Freeze,4,spell
Mortar,4,building
Bowler,5,troop
Ice Spirit,1,troop
Log,2,spell
Skeleton Army,3,troop
Royal Giant,6,troop
Mini P.E.K.K.A,4,troop
Minions,3,troop
Rage,2,spell
Sparky,6,troop
Furnace,4,building
Witch,5,troop
Bandit,3,troop
Poison,4,spell
Miner,3,troop
Heal Spirit,1,troop
Lightning,6,spell
Bomb Tower,4,building
